"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03075099999","1934-01-01","58.458889","-3.093056","38.4","WICK, UK","  45.0"," 4","  44.0"," 4","1012.2"," 4","999.9"," 0"," 12.4"," 4"," 14.0"," 4"," 23.9","999.9","  48.0","*","  41.0","*","99.99"," ","999.9","010000"
"03075099999","1934-01-02","58.458889","-3.093056","38.4","WICK, UK","  42.5"," 4","  41.5"," 4","1009.9"," 4","999.9"," 0"," 12.4"," 4"," 15.0"," 4"," 23.9","999.9","  48.0"," ","  37.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-03","58.458889","-3.093056","38.4","WICK, UK","  43.7"," 4","  42.8"," 4","1003.5"," 4","999.9"," 0"," 12.4"," 4"," 21.0"," 4"," 36.9","999.9","  46.9","*","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-04","58.458889","-3.093056","38.4","WICK, UK","  44.2"," 4","  41.0"," 4"," 990.3"," 4","999.9"," 0"," 12.4"," 4"," 13.0"," 4"," 13.0","999.9","  48.9","*","  35.1","*"," 0.00","I","999.9","000000"
"03075099999","1934-01-05","58.458889","-3.093056","38.4","WICK, UK","  37.7"," 4","  31.5"," 4","1004.2"," 4","999.9"," 0"," 12.4"," 4"," 12.2"," 4"," 18.1","999.9","  50.0"," ","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-06","58.458889","-3.093056","38.4","WICK, UK","  43.2"," 4","  40.0"," 4","1002.1"," 4","999.9"," 0"," 12.4"," 4"," 19.7"," 4"," 36.9","999.9","  45.0","*","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-07","58.458889","-3.093056","38.4","WICK, UK","  40.5"," 4","  35.7"," 4"," 998.9"," 4","999.9"," 0"," 12.4"," 4","  9.0"," 4"," 13.0","999.9","  45.0"," ","  37.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-08","58.458889","-3.093056","38.4","WICK, UK","  37.5"," 4","  34.2"," 4","1000.6"," 4","999.9"," 0"," 12.4"," 4"," 18.5"," 4"," 23.9","999.9","  45.0"," ","  34.0"," ","99.99"," ","999.9","011000"
"03075099999","1934-01-09","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  37.3"," 4","1011.4"," 4","999.9"," 0"," 12.4"," 4"," 17.4"," 4"," 23.9","999.9","  45.0","*","  34.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-10","58.458889","-3.093056","38.4","WICK, UK","  45.0"," 4","  41.8"," 4","1003.6"," 4","999.9"," 0"," 12.4"," 4"," 16.3"," 4"," 36.9","999.9","  46.9","*","  42.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-11","58.458889","-3.093056","38.4","WICK, UK","  45.8"," 4","  42.5"," 4"," 990.6"," 4","999.9"," 0","  9.3"," 4"," 33.7"," 4"," 36.9","999.9","  46.9"," ","  36.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-12","58.458889","-3.093056","38.4","WICK, UK","  42.8"," 4","  38.0"," 4"," 976.5"," 4","999.9"," 0"," 12.4"," 4"," 21.0"," 4"," 23.9","999.9","  46.9"," ","  37.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-13","58.458889","-3.093056","38.4","WICK, UK","  41.8"," 4","  37.8"," 4"," 983.0"," 4","999.9"," 0"," 12.4"," 4"," 15.2"," 4"," 29.9","999.9","  44.1"," ","  37.9","*"," 0.00","I","999.9","000000"
"03075099999","1934-01-15","58.458889","-3.093056","38.4","WICK, UK","  41.2"," 4","  38.0"," 4"," 979.9"," 4","999.9"," 0"," 12.4"," 4"," 13.0"," 4"," 13.0","999.9","  44.1","*","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-16","58.458889","-3.093056","38.4","WICK, UK","  40.0"," 4","  36.1"," 4"," 995.0"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  45.0"," ","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-17","58.458889","-3.093056","38.4","WICK, UK","  43.6"," 4","  38.8"," 4"," 978.1"," 4","999.9"," 0"," 12.4"," 4"," 17.0"," 4"," 23.9","999.9","  48.0","*","  36.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-18","58.458889","-3.093056","38.4","WICK, UK","  41.5"," 4","  37.5"," 4"," 978.9"," 4","999.9"," 0"," 12.4"," 4"," 22.2"," 4"," 36.9","999.9","  48.0"," ","  39.0","*","99.99"," ","999.9","010000"
"03075099999","1934-01-19","58.458889","-3.093056","38.4","WICK, UK","  38.8"," 4","  32.5"," 4","1005.1"," 4","999.9"," 0"," 12.4"," 4"," 17.0"," 4"," 23.9","999.9","  42.1"," ","  37.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-20","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  32.8"," 4","1028.5"," 4","999.9"," 0"," 12.4"," 4"," 11.2"," 4"," 18.1","999.9","  42.1","*","  33.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-21","58.458889","-3.093056","38.4","WICK, UK","  42.8"," 4","  36.2"," 4","1026.3"," 4","999.9"," 0"," 12.4"," 4"," 19.7"," 4"," 36.9","999.9","  44.1","*","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-22","58.458889","-3.093056","38.4","WICK, UK","  45.3"," 4","  39.7"," 4","1019.0"," 4","999.9"," 0"," 12.4"," 4"," 30.4"," 4"," 36.9","999.9","  46.0","*","  37.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-23","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  37.3"," 4","1023.4"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  46.0"," ","  37.9"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-24","58.458889","-3.093056","38.4","WICK, UK","  47.5"," 4","  42.5"," 4","1020.3"," 4","999.9"," 0"," 12.4"," 4"," 19.7"," 4"," 23.9","999.9","  48.0","*","  45.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-25","58.458889","-3.093056","38.4","WICK, UK","  42.5"," 4","  39.2"," 4","1013.2"," 4","999.9"," 0"," 10.9"," 4"," 21.2"," 4"," 23.9","999.9","  48.0"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-26","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  41.0"," 4","1003.2"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  44.1"," ","  39.0","*"," 0.00","I","999.9","000000"
"03075099999","1934-01-27","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  37.2"," 4","1018.1"," 4","999.9"," 0"," 10.9"," 4"," 11.0"," 4"," 13.0","999.9","  44.1"," ","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-01-28","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  37.2"," 4","1030.9"," 4","999.9"," 0"," 12.4"," 4","  6.0"," 4","  8.9","999.9","  44.1","*","  33.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-29","58.458889","-3.093056","38.4","WICK, UK","  42.8"," 4","  41.0"," 4","1029.2"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  45.0","*","  37.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-30","58.458889","-3.093056","38.4","WICK, UK","  43.7"," 4","  41.2"," 4","1030.6"," 4","999.9"," 0"," 12.4"," 4","  6.0"," 4","  8.9","999.9","  46.9","*","  41.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-01-31","58.458889","-3.093056","38.4","WICK, UK","  41.7"," 4","  37.8"," 4","1038.1"," 4","999.9"," 0"," 12.4"," 4"," 11.6"," 4"," 18.1","999.9","  45.0"," ","  35.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-01","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  41.0"," 4","1041.1"," 4","999.9"," 0"," 12.4"," 4","  7.0"," 4","  8.9","999.9","  44.1"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-02","58.458889","-3.093056","38.4","WICK, UK","  43.5"," 4","  42.5"," 4","1035.5"," 4","999.9"," 0","  8.4"," 4","  9.0"," 4"," 13.0","999.9","  48.0","*","  36.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-03","58.458889","-3.093056","38.4","WICK, UK","  47.0"," 4","  46.0"," 4","1033.8"," 4","999.9"," 0","  7.5"," 4","  7.0"," 4","  8.9","999.9","  48.0"," ","  46.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-02-04","58.458889","-3.093056","38.4","WICK, UK","  42.7"," 4","  41.0"," 4","1032.9"," 4","999.9"," 0"," 12.4"," 4","  7.0"," 4","  8.9","999.9","  48.0"," ","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-02-05","58.458889","-3.093056","38.4","WICK, UK","  43.2"," 4","  40.7"," 4","1023.6"," 4","999.9"," 0"," 12.4"," 4"," 13.5"," 4"," 18.1","999.9","  48.0","*","  35.1"," "," 0.00","I","999.9","000000"
